Renter_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,500",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"8,000",573,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"11,000",600,Semi-Furnished,1
OWNER,1,BHK,Apartment,Limat,"9,000",620,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"7,500",550,Semi-Furnished,1
OWNER,1,BHK,Apartment,Limat,"7,500",550,Semi-Furnished,1
AGENT,3,BHK,Apartment,Limat,"22,000",1532,Unfurnished,3
AGENT,2,BHK,Apartment,Limat,"15,000",1100,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"16,000",1015,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"31,000",900,Furnished,2
AGENT,2,BHK,Apartment,Limat,"31,000",900,Furnished,2
AGENT,2,BHK,Apartment,Limat,"31,000",900,Furnished,2
OWNER,1,BHK,Apartment,Limat,"9,000",500,Unfurnished,2
OWNER,2,BHK,Apartment,Limat,"10,000",900,Semi-Furnished,2
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
